threshold,tp_threshold,sl_threshold,tp_sell,sl_sell,CAGR,MDD,Sharpe,Sortino,CumulativeReturn,Trades,HitDays,NumTP,NumSL
-4.1,15.0,-20.0,25.0,50.0,0.3106846914321175,-0.6437054754943763,0.0,0.0,1.1541381256655106,71.0,71.0,19.0,3.0
-4.1,15.0,-20.0,25.0,75.0,0.320252453187581,-0.6301338486243726,0.0,0.0,1.1990397796584888,71.0,71.0,21.0,3.0
-4.1,15.0,-20.0,25.0,100.0,0.3192210806058766,-0.5900538808977815,0.0,0.0,1.1941706689062013,71.0,71.0,21.0,3.0
-4.1,15.0,-20.0,50.0,25.0,0.31102073918728257,-0.6150337430883706,0.0,0.0,1.1557050502212904,71.0,71.0,22.0,3.0
-4.1,15.0,-20.0,50.0,50.0,0.3006884213422949,-0.5969989626178527,0.0,0.0,1.1078640969690707,71.0,71.0,22.0,3.0
-4.1,15.0,-20.0,50.0,75.0,0.2966735973215724,-0.5710460405063587,0.0,0.0,1.0894617249783418,71.0,71.0,22.0,3.0
-4.1,15.0,-20.0,50.0,100.0,0.2888553298184402,-0.5343979840522408,0.0,0.0,1.0539250487608958,71.0,71.0,20.0,3.0
-4.1,15.0,-20.0,75.0,25.0,0.29974074626910485,-0.5553892644982951,0.0,0.0,1.1035109058031773,71.0,71.0,19.0,2.0
-4.1,15.0,-20.0,75.0,50.0,0.29529669885337606,-0.536287462740135,0.0,0.0,1.083174606063873,71.0,71.0,19.0,2.0
-4.1,15.0,-20.0,75.0,75.0,0.29749212934835945,-0.506479134596976,0.0,0.0,1.0932050768998893,71.0,71.0,19.0,2.0
-4.1,15.0,-20.0,75.0,100.0,0.29841117856497834,-0.4643986619079793,0.0,0.0,1.0974132904699188,71.0,71.0,19.0,2.0
-4.1,15.0,-20.0,100.0,25.0,0.2873322394542317,-0.46193605630048074,0.0,0.0,1.047047965599904,71.0,71.0,17.0,2.0
-4.1,15.0,-20.0,100.0,50.0,0.2868936573462526,-0.42919104721822554,0.0,0.0,1.0450704407555045,71.0,71.0,17.0,2.0
-4.1,15.0,-20.0,100.0,75.0,0.2870451625765398,-0.401553611758679,0.0,0.0,1.0457534234726409,71.0,71.0,17.0,2.0
-4.1,15.0,-20.0,100.0,100.0,0.28852680041683554,-0.34902182886011823,0.0,0.0,1.0524404040299853,71.0,71.0,17.0,2.0
-4.1,15.0,-15.0,25.0,25.0,0.3091627874734322,-0.6478251015593559,0.0,0.0,1.1470510190542713,71.0,71.0,20.0,4.0
-4.1,15.0,-15.0,25.0,50.0,0.2787374703109531,-0.632849736297089,0.0,0.0,1.0085200473216172,71.0,71.0,20.0,4.0
-4.1,15.0,-15.0,25.0,75.0,0.2891133193123918,-0.6182017808610821,0.0,0.0,1.0550914065396868,71.0,71.0,22.0,4.0
-4.1,15.0,-15.0,25.0,100.0,0.27996164893528497,-0.5821887264200428,0.0,0.0,1.0139787670229299,71.0,71.0,19.0,4.0
-4.1,15.0,-15.0,50.0,25.0,0.30849184709024935,-0.6079453767917773,0.0,0.0,1.1439314271287242,71.0,71.0,22.0,4.0
-4.1,15.0,-15.0,50.0,50.0,0.2931633097687245,-0.5912306347106662,0.0,0.0,1.0734574533064958,71.0,71.0,22.0,4.0
-4.1,15.0,-15.0,50.0,75.0,0.2892185621774497,-0.5665113898219234,0.0,0.0,1.0555673274603796,71.0,71.0,21.0,4.0
-4.1,15.0,-15.0,50.0,100.0,0.2717573167332159,-0.528777291229214,0.0,0.0,0.9775779038011068,71.0,71.0,18.0,4.0
-4.1,15.0,-15.0,75.0,25.0,0.29278778904404024,-0.5573004119018198,0.0,0.0,1.0717500764507704,71.0,71.0,21.0,3.0
-4.1,15.0,-15.0,75.0,50.0,0.2893714563390295,-0.5303590005645068,0.0,0.0,1.0562588604133158,71.0,71.0,21.0,3.0
-4.1,15.0,-15.0,75.0,75.0,0.28638355350971256,-0.5076199164141963,0.0,0.0,1.0427719876166712,71.0,71.0,21.0,3.0
-4.1,15.0,-15.0,75.0,100.0,0.2863182358735441,-0.46439866190797907,0.0,0.0,1.0424777967696701,71.0,71.0,20.0,3.0
-4.1,15.0,-15.0,100.0,25.0,0.2759575761022097,-0.46193605630048074,0.0,0.0,0.9961598519927557,71.0,71.0,18.0,3.0
-4.1,15.0,-15.0,100.0,50.0,0.27449574024290957,-0.42919104721822554,0.0,0.0,0.989679922731326,71.0,71.0,18.0,3.0
-4.1,15.0,-15.0,100.0,75.0,0.2726138545103136,-0.401553611758679,0.0,0.0,0.9813580966144022,71.0,71.0,18.0,3.0
-4.1,15.0,-15.0,100.0,100.0,0.27310836599754396,-0.34902182886011823,0.0,0.0,0.9835426727547165,71.0,71.0,17.0,3.0
-4.1,15.0,-10.0,25.0,25.0,0.2953103231993981,-0.6423036305949739,0.0,0.0,1.0832367567323815,71.0,71.0,22.0,8.0
-4.1,15.0,-10.0,25.0,50.0,0.2825573803444925,-0.6182611870445898,0.0,0.0,1.0255851158205282,71.0,71.0,22.0,8.0
-4.1,15.0,-10.0,25.0,75.0,0.2885983525565028,-0.5923476569521018,0.0,0.0,1.0527636933808955,71.0,71.0,23.0,8.0
-4.1,15.0,-10.0,25.0,100.0,0.2832909947884603,-0.5916116155919834,0.0,0.0,1.0288731715421857,71.0,71.0,19.0,5.0
-4.1,15.0,-10.0,50.0,25.0,0.2928229734406118,-0.5936665421378262,0.0,0.0,1.0719100103821813,71.0,71.0,23.0,9.0
-4.1,15.0,-10.0,50.0,50.0,0.2920068491745078,-0.5610012891841303,0.0,0.0,1.0682022992837825,71.0,71.0,23.0,8.0
-4.1,15.0,-10.0,50.0,75.0,0.2845666173431989,-0.5620325671211376,0.0,0.0,1.0345987291827856,71.0,71.0,22.0,7.0
-4.1,15.0,-10.0,50.0,100.0,0.2806872864318901,-0.5449961431118016,0.0,0.0,1.017218977536166,71.0,71.0,18.0,5.0
-4.1,15.0,-10.0,75.0,25.0,0.2750995168002244,-0.5312399788341685,0.0,0.0,0.992354649992709,71.0,71.0,22.0,8.0
-4.1,15.0,-10.0,75.0,50.0,0.27096232972340384,-0.4925485769004171,0.0,0.0,0.97407353653543,71.0,71.0,22.0,8.0
-4.1,15.0,-10.0,75.0,75.0,0.26574967292401386,-0.47480723981375283,0.0,0.0,0.9511952972263826,71.0,71.0,20.0,8.0
-4.1,15.0,-10.0,75.0,100.0,0.26430068212991564,-0.4728422234293804,0.0,0.0,0.9448663499512597,71.0,71.0,18.0,6.0
-4.1,15.0,-10.0,100.0,25.0,0.2626332969328169,-0.4408426274614976,0.0,0.0,0.9375999578585363,71.0,71.0,18.0,8.0
-4.1,15.0,-10.0,100.0,50.0,0.26197409116852644,-0.394689837828753,0.0,0.0,0.9347320236002004,71.0,71.0,18.0,8.0
-4.1,15.0,-10.0,100.0,75.0,0.25870172542398806,-0.373527198135148,0.0,0.0,0.9205359831157622,71.0,71.0,18.0,8.0
-4.1,15.0,-10.0,100.0,100.0,0.259723942223558,-0.3718913713963158,0.0,0.0,0.9249632527151426,71.0,71.0,17.0,6.0
-4.1,20.0,-50.0,25.0,25.0,0.3789307694491535,-0.6601799101052876,0.0,0.0,1.4877120671550292,71.0,71.0,12.0,0.0
-4.1,20.0,-50.0,25.0,50.0,0.3789307694491535,-0.6601799101052876,0.0,0.0,1.4877120671550292,71.0,71.0,12.0,0.0
-4.1,20.0,-50.0,25.0,75.0,0.3789307694491535,-0.6601799101052876,0.0,0.0,1.4877120671550292,71.0,71.0,12.0,0.0
-4.1,20.0,-50.0,25.0,100.0,0.3789307694491535,-0.6601799101052876,0.0,0.0,1.4877120671550292,71.0,71.0,12.0,0.0
-4.1,20.0,-50.0,50.0,25.0,0.4097597302646381,-0.643323807006493,0.0,0.0,1.648726793818105,71.0,71.0,13.0,0.0
-4.1,20.0,-50.0,50.0,50.0,0.4097597302646381,-0.643323807006493,0.0,0.0,1.648726793818105,71.0,71.0,13.0,0.0
-4.1,20.0,-50.0,50.0,75.0,0.4097597302646381,-0.643323807006493,0.0,0.0,1.648726793818105,71.0,71.0,13.0,0.0
-4.1,20.0,-50.0,50.0,100.0,0.4097597302646381,-0.643323807006493,0.0,0.0,1.648726793818105,71.0,71.0,13.0,0.0
-4.1,20.0,-50.0,75.0,25.0,0.3737259999806166,-0.6171016314878672,0.0,0.0,1.4611707488249426,71.0,71.0,13.0,0.0
-4.1,20.0,-50.0,75.0,50.0,0.3737259999806166,-0.6171016314878672,0.0,0.0,1.4611707488249426,71.0,71.0,13.0,0.0
-4.1,20.0,-50.0,75.0,75.0,0.3737259999806166,-0.6171016314878672,0.0,0.0,1.4611707488249426,71.0,71.0,13.0,0.0
-4.1,20.0,-50.0,75.0,100.0,0.3737259999806166,-0.6171016314878672,0.0,0.0,1.4611707488249426,71.0,71.0,13.0,0.0
-4.1,20.0,-50.0,100.0,25.0,0.35098672916387574,-0.49931691185052807,0.0,0.0,1.347364240991566,71.0,71.0,13.0,0.0
-4.1,20.0,-50.0,100.0,50.0,0.35098672916387574,-0.49931691185052807,0.0,0.0,1.347364240991566,71.0,71.0,13.0,0.0
-4.1,20.0,-50.0,100.0,75.0,0.35098672916387574,-0.49931691185052807,0.0,0.0,1.347364240991566,71.0,71.0,13.0,0.0
-4.1,20.0,-50.0,100.0,100.0,0.35098672916387574,-0.49931691185052807,0.0,0.0,1.347364240991566,71.0,71.0,13.0,0.0
-4.1,20.0,-45.0,25.0,25.0,0.35305647882202074,-0.6589571757471845,0.0,0.0,1.3575789856087144,71.0,71.0,15.0,1.0
-4.1,20.0,-45.0,25.0,50.0,0.3244273667554596,-0.6565583369604994,0.0,0.0,1.2188210147282432,71.0,71.0,15.0,1.0
-4.1,20.0,-45.0,25.0,75.0,0.30328768483882573,-0.649714304704957,0.0,0.0,1.1198338662703033,71.0,71.0,15.0,1.0
-4.1,20.0,-45.0,25.0,100.0,0.27207960672308795,-0.6450257874959985,0.0,0.0,0.9789997307982525,71.0,71.0,16.0,1.0
-4.1,20.0,-45.0,50.0,25.0,0.4097597302646381,-0.643323807006493,0.0,0.0,1.648726793818105,71.0,71.0,13.0,0.0
-4.1,20.0,-45.0,50.0,50.0,0.4097597302646381,-0.643323807006493,0.0,0.0,1.648726793818105,71.0,71.0,13.0,0.0
-4.1,20.0,-45.0,50.0,75.0,0.4097597302646381,-0.643323807006493,0.0,0.0,1.648726793818105,71.0,71.0,13.0,0.0
-4.1,20.0,-45.0,50.0,100.0,0.4097597302646381,-0.643323807006493,0.0,0.0,1.648726793818105,71.0,71.0,13.0,0.0
-4.1,20.0,-45.0,75.0,25.0,0.3737259999806166,-0.6171016314878672,0.0,0.0,1.4611707488249426,71.0,71.0,13.0,0.0
-4.1,20.0,-45.0,75.0,50.0,0.3737259999806166,-0.6171016314878672,0.0,0.0,1.4611707488249426,71.0,71.0,13.0,0.0
-4.1,20.0,-45.0,75.0,75.0,0.3737259999806166,-0.6171016314878672,0.0,0.0,1.4611707488249426,71.0,71.0,13.0,0.0
-4.1,20.0,-45.0,75.0,100.0,0.3737259999806166,-0.6171016314878672,0.0,0.0,1.4611707488249426,71.0,71.0,13.0,0.0
-4.1,20.0,-45.0,100.0,25.0,0.35098672916387574,-0.49931691185052807,0.0,0.0,1.347364240991566,71.0,71.0,13.0,0.0
-4.1,20.0,-45.0,100.0,50.0,0.35098672916387574,-0.49931691185052807,0.0,0.0,1.347364240991566,71.0,71.0,13.0,0.0
-4.1,20.0,-45.0,100.0,75.0,0.35098672916387574,-0.49931691185052807,0.0,0.0,1.347364240991566,71.0,71.0,13.0,0.0
-4.1,20.0,-45.0,100.0,100.0,0.35098672916387574,-0.49931691185052807,0.0,0.0,1.347364240991566,71.0,71.0,13.0,0.0
-4.1,20.0,-40.0,25.0,25.0,0.35305647882202074,-0.6589571757471845,0.0,0.0,1.3575789856087144,71.0,71.0,15.0,1.0
-4.1,20.0,-40.0,25.0,50.0,0.3244273667554596,-0.6565583369604994,0.0,0.0,1.2188210147282432,71.0,71.0,15.0,1.0
-4.1,20.0,-40.0,25.0,75.0,0.30328768483882573,-0.649714304704957,0.0,0.0,1.1198338662703033,71.0,71.0,15.0,1.0
-4.1,20.0,-40.0,25.0,100.0,0.27207960672308795,-0.6450257874959985,0.0,0.0,0.9789997307982525,71.0,71.0,16.0,1.0
-4.1,20.0,-40.0,50.0,25.0,0.3318821446594018,-0.6412748097836141,0.0,0.0,1.2544284462897735,71.0,71.0,15.0,1.0
-4.1,20.0,-40.0,50.0,50.0,0.3121483720731679,-0.6371053692364808,0.0,0.0,1.1609683726927678,71.0,71.0,15.0,1.0
-4.1,20.0,-40.0,50.0,75.0,0.2933927258309066,-0.6295907892075504,0.0,0.0,1.0745009854922283,71.0,71.0,16.0,1.0
-4.1,20.0,-40.0,50.0,100.0,0.27975127391342514,-0.6295907892075504,0.0,0.0,1.0130400037488507,71.0,71.0,16.0,1.0
-4.1,20.0,-40.0,75.0,25.0,0.3037036623087688,-0.6143650282095147,0.0,0.0,1.1217535431993535,71.0,71.0,16.0,1.0
-4.1,20.0,-40.0,75.0,50.0,0.2941991235150083,-0.6087727676268784,0.0,0.0,1.0781717001870756,71.0,71.0,16.0,1.0
-4.1,20.0,-40.0,75.0,75.0,0.28690303399852657,-0.6039761275939666,0.0,0.0,1.0451127062406398,71.0,71.0,16.0,1.0
